iter	Logloss
141	0.3171915229
142	0.3171447284
143	0.3168905039
144	0.3167524078
145	0.3165810383
146	0.3165420482
147	0.3159789072
148	0.3157256852
149	0.3155294374
150	0.3152783706
151	0.3151373221
152	0.314765917
153	0.3143729522
154	0.3140581735
155	0.3140276107
156	0.3136765265
157	0.3135064585
158	0.3130338185
159	0.3127944653
160	0.3121954783
161	0.3116499101
162	0.3115020155
163	0.3110926791
164	0.3107602392
165	0.310599533
166	0.3103229859
167	0.3099942822
168	0.3097945195
169	0.309427929
170	0.3091801641
171	0.3091031475
172	0.3087240154
173	0.3086041685
174	0.3083715655
175	0.3083338827
176	0.3083217044
177	0.3080649572
178	0.3078572971
179	0.3076414628
180	0.3073513544
181	0.3070218032
182	0.3067938568
183	0.3066590133
184	0.3065749789
185	0.3062840164
186	0.3059582831
187	0.3057026072
188	0.3052108119
189	0.3049176179
190	0.304398564
191	0.3043442312
192	0.303959421
193	0.3037125722
194	0.3033619748
195	0.3032371577
196	0.3032059763
197	0.3030731019
198	0.3025294914
199	0.3024846623
200	0.3019455361
201	0.3016747282
202	0.3013829193
203	0.3012441804
204	0.3011130715
205	0.3009983647
206	0.3007299668
207	0.3002063371
208	0.3000585608
209	0.299785347
210	0.2996413282
211	0.299565782
212	0.2992830987
213	0.2988909216
214	0.2986756513
215	0.2986516259
216	0.2984046243
217	0.2982620595
218	0.2980353373
219	0.2977519427
220	0.2975926104
221	0.2972275622
222	0.2970254021
223	0.2967816417
224	0.2965654675
225	0.2961331644
226	0.2959060642
227	0.2955528617
228	0.2954547057
229	0.2953596226
230	0.2951580981
231	0.2950960222
232	0.2949874724
233	0.2946192121
234	0.294552369
235	0.2942005452
236	0.2937791371
237	0.2935981767
238	0.2935406072
239	0.2933457572
240	0.2931866841
241	0.2929582945
242	0.2927870625
243	0.2924723632
244	0.2920265597
245	0.2919078065
246	0.2916530608
247	0.2916020392
248	0.2914605659
249	0.2912369729
250	0.2910041719
251	0.2909001138
252	0.2907138837
253	0.2905520359
254	0.2903817772
255	0.2902370234
256	0.2900251131
257	0.2899402607
258	0.2897898224
259	0.2896366307
260	0.2894379271
261	0.2894018071
262	0.2892599932
263	0.289109414
264	0.2888415936
265	0.2885959085
266	0.2884542584
267	0.288116681
268	0.2880045734
269	0.2879599227
270	0.2878135835
271	0.2876698117
272	0.2874176492
273	0.2871709055
274	0.2868456763
275	0.2866233984
276	0.2866182923
277	0.2865220589
278	0.286429703
279	0.2862969276
280	0.2861681026
281	0.2859847226
282	0.2858007641
283	0.2855539168
284	0.2852832528
285	0.2851919262
286	0.2851163473
287	0.2848460733
288	0.2846920872
289	0.2846280748
290	0.2844518753
291	0.2842664055
292	0.2841701502
293	0.2838659
294	0.2837454921
295	0.2835320206
296	0.2831769912
297	0.2830954577
298	0.2828572051
299	0.2827162789
300	0.2824801633
301	0.282303826
302	0.2819792528
303	0.2819210794
304	0.2817810587
305	0.2814764897
306	0.2813405828
307	0.2811443159
308	0.2810203569
309	0.2807443262
310	0.2805458794
311	0.2804697189
312	0.2802955213
313	0.2798983913
314	0.2797822497
315	0.2797220037
316	0.2794703216
317	0.2793517155
318	0.279073675
319	0.2788164874
320	0.2785890529
321	0.2785477131
322	0.2784559568
323	0.2784187838
324	0.2782582809
325	0.2779991158
326	0.277813328
327	0.2774947918
328	0.2773703496
329	0.2772520218
330	0.2770691209
331	0.277034312
332	0.2769485629
333	0.276746704
334	0.2766802819
335	0.2764240632
336	0.2761813299
337	0.2760174148
338	0.2759123168
339	0.2757968176
340	0.2756690593
341	0.2755486942
342	0.2753893738
343	0.2751945223
344	0.2750808429
345	0.2749173878
346	0.2745915825
347	0.2744737535
348	0.2743107873
349	0.2740872348
350	0.2740016073
351	0.2738829093
352	0.2736808807
353	0.2735678346
354	0.2733634246
355	0.2732458216
356	0.2731224167
357	0.2729817234
358	0.2729210647
359	0.2727769163
360	0.272461037
361	0.27234411
362	0.2722566595
363	0.272075935
364	0.2719792184
365	0.271884689
366	0.2717137218
367	0.2716684531
368	0.2715437632
369	0.2714538482
370	0.2713488273
371	0.2712232973
372	0.2710969277
373	0.2709083348
374	0.2707547789
375	0.2706774128
376	0.2705778645
377	0.2704309483
378	0.27030686
379	0.2702279957
380	0.2701392014
381	0.2700232923
382	0.2699426867
383	0.2697662593
384	0.2695639466
385	0.2693613156
386	0.2691937182
387	0.2691215125
388	0.2689853825
389	0.268919072
390	0.2687670197
391	0.2686582105
392	0.2683865591
393	0.2682692316
394	0.2681562493
395	0.2679802252
396	0.2678705851
397	0.2676858366
398	0.2675751411
399	0.2674903825
400	0.2672100418
401	0.267190111
402	0.2671185963
403	0.2669422371
404	0.2668018684
405	0.2666836406
406	0.2665965361
407	0.2664456573
408	0.2663790476
409	0.2662725117
410	0.2662402946
411	0.2661142453
412	0.2659497072
413	0.2658112982
414	0.2657667025
415	0.2656676796
416	0.2654867696
417	0.2653573749
418	0.2652681095
419	0.2651253655
420	0.2649873483
421	0.2648663742
422	0.2647640918
423	0.2646621036
424	0.2645794261
425	0.2644388438
426	0.2643030053
427	0.2642240012
428	0.264119025
429	0.2639759572
430	0.2639246436
431	0.2638905351
432	0.2638439343
433	0.263689599
434	0.2635831599
435	0.2634397491
436	0.2633710529
437	0.2632370484
438	0.2630165568
439	0.2628728323
440	0.2627092675
441	0.2625491192
442	0.2625198629
443	0.262394149
444	0.2623190749
445	0.2622955691
446	0.2622034996
447	0.2621277506
448	0.2620299025
449	0.2618169724
450	0.2616724115
451	0.2615067271
452	0.2614261822
453	0.26125477
454	0.2611647433
455	0.260915001
456	0.2608281467
457	0.2606748694
458	0.2606129785
459	0.2605457223
460	0.2604956729
461	0.2604610733
462	0.2603396183
463	0.2602139003
464	0.2600485916
465	0.2599246509
466	0.2598100502
467	0.2597192938
468	0.2595753634
469	0.2594638238
470	0.259321054
471	0.2593020163
472	0.2592444129
473	0.259218454
474	0.2591312913
475	0.2590475335
476	0.2587974539
477	0.2587283228
478	0.2586415003
479	0.2585672446
480	0.2583919812
481	0.2582270401
482	0.2581518379
483	0.2580691272
484	0.2579296512
485	0.257834929
486	0.2578056543
487	0.2577031674
488	0.2575514493
489	0.257459171
490	0.257401515
491	0.2572679465
492	0.2571123597
493	0.2570349345
494	0.2569603596
495	0.2568135642
496	0.2566916774
497	0.2565865272
498	0.2565518679
499	0.2564201289
500	0.2563809042
501	0.2563104874
502	0.2562266561
503	0.2561584012
504	0.2560510111
505	0.2559499157
506	0.2558367543
507	0.2558005535
508	0.255698721
509	0.2556146367
510	0.2555546573
511	0.2554243632
512	0.2553689946
513	0.2552616897
514	0.255115438
515	0.2550860222
516	0.2549762787
517	0.2549491274
518	0.2547790673
519	0.2546836701
520	0.2546119574
521	0.2544816103
522	0.2543759887
523	0.254290258
524	0.2542459374
525	0.2541365569
526	0.2540545539
527	0.2539811245
528	0.2539203507
529	0.2538821877
530	0.253812453
531	0.2537087524
532	0.2535884389
533	0.2535333073
534	0.253437215
535	0.2533332217
536	0.2531252721
537	0.2530784702
538	0.2530323901
539	0.2530025829
540	0.2529124664
541	0.2528783266
542	0.2527252439
543	0.2525773107
544	0.2524753917
545	0.2524087872
546	0.2522133193
547	0.2521748447
548	0.2521209954
549	0.2520178433
550	0.2519135281
551	0.2518976612
552	0.2518339178
553	0.2517298677
554	0.2514944015
555	0.2514162819
556	0.2513541593
557	0.2512390147
558	0.2512146825
559	0.251087398
560	0.2509761405
561	0.2508530168
562	0.2508009569
563	0.2506904566
564	0.2505937711
565	0.250505086
566	0.2504446355
567	0.250377644
568	0.2502903054
569	0.250171983
570	0.250105147
571	0.2500870321
572	0.2499912392
573	0.2499097428
574	0.249885945
575	0.2498299095
576	0.2497442429
577	0.2497163177
578	0.2496185319
579	0.2495743441
580	0.2495191097
581	0.2494510014
582	0.2493825373
583	0.2491942774
584	0.2491031978
585	0.2490807488
586	0.2490161641
587	0.248922422
588	0.2487950246
589	0.2486004185
590	0.2484342677
591	0.2483575423
592	0.2482407192
593	0.2481406828
594	0.2480247469
595	0.2480052518
596	0.2479324569
597	0.2479162036
598	0.2478679677
599	0.2477988191
600	0.2476259799
601	0.2475563658
602	0.2475423183
603	0.2474653552
604	0.247405212
605	0.2473436566
606	0.2472576764
607	0.2471077773
608	0.2470885915
609	0.2470087457
610	0.2468791651
611	0.2467974789
612	0.2467699395
613	0.2467560307
614	0.2466365125
615	0.2465649715
616	0.2464970926
617	0.2463995108
618	0.2463237478
619	0.2462654489
620	0.2462377927
621	0.2462197574
622	0.246143225
623	0.2460571298
624	0.2459829982
625	0.2459557461
626	0.2458412827
627	0.2457966504
628	0.2457721989
629	0.2456408768
630	0.2456081048
631	0.2454658011
632	0.2453680805
633	0.24533323
634	0.2452863218
635	0.2452259597
636	0.2451562311
637	0.2450900781
638	0.2450077452
639	0.2449518573
640	0.2448796519
641	0.2448004387
642	0.2447416542
643	0.2446600072
644	0.2446030872
645	0.2445320196
646	0.2444478102
647	0.2443835473
648	0.2443266155
649	0.2442720176
650	0.2441826572
651	0.2440927922
652	0.2439639414
653	0.2438746369
654	0.2437738946
655	0.2437244189
656	0.2436207821
657	0.2435210393
658	0.2434660346
659	0.2433865753
660	0.2433168745
661	0.2431791681
662	0.2431566185
663	0.2431127985
664	0.2430352123
665	0.2429696173
666	0.242868051
667	0.242809916
668	0.2427810951
669	0.2427104793
670	0.2426502163
671	0.2426389575
672	0.2425079648
673	0.2424604511
674	0.2423580647
675	0.2422946974
676	0.24222081
677	0.2420847512
678	0.2420296397
679	0.2418796805
680	0.2418446726
681	0.2417539278
682	0.2417403315
683	0.2417245591
684	0.2416085492
685	0.2415313429
686	0.2414081583
687	0.2414000216
688	0.2413480161
689	0.2413233258
690	0.2412825248
691	0.2412280216
692	0.2412093426
693	0.2411546978
694	0.2410066014
695	0.2409888447
696	0.2409245154
697	0.2409086757
698	0.2408211121
699	0.240803799
700	0.2407394571
701	0.2406913834
702	0.2406718748
703	0.2406498442
704	0.2406292381
705	0.2405805476
706	0.2405158645
707	0.2404699557
708	0.2403832546
709	0.2403551995
710	0.2402626604
711	0.240150027
712	0.2400727429
713	0.2400312974
714	0.2399716972
715	0.2398973718
716	0.2398192047
717	0.2397626757
718	0.2397083101
719	0.2396058904
720	0.2394697072
721	0.2393952716
722	0.2393476731
723	0.2392831638
724	0.2392714102
725	0.239211839
726	0.2391730796
727	0.2391512307
728	0.2390814717
729	0.2390111563
730	0.2389757901
731	0.2388338668
732	0.2387518049
733	0.2386705917
734	0.2385527028
735	0.2384256398
736	0.238380753
737	0.2383129756
738	0.2382544933
739	0.2381999026
740	0.2380993955
741	0.2380139225
742	0.2379903786
743	0.23796354
744	0.2378537887
745	0.2377904531
746	0.2377720053
747	0.2377352909
748	0.2376432833
749	0.2375835687
750	0.2375531686
751	0.2374554617
752	0.2373621788
753	0.2373090499
754	0.2372331691
755	0.2372074707
756	0.2371930592
757	0.237151948
758	0.2370875589
759	0.237006236
760	0.2369813187
761	0.2369309646
762	0.2368526088
763	0.2368295789
764	0.2368102027
765	0.236794782
766	0.2367572386
767	0.2367111986
768	0.2366065931
769	0.2365261298
770	0.2365097552
771	0.2364076743
772	0.2363367299
773	0.2362860339
774	0.2362620752
775	0.2361583449
776	0.2361122259
777	0.2360543626
778	0.2360377359
779	0.2359870689
780	0.2359441925
781	0.2358949046
782	0.2358107603
783	0.23579538
784	0.2357819948
785	0.2357068077
786	0.2356752276
787	0.2356643085
788	0.235574941
789	0.2355316079
790	0.2354957547
791	0.2353947885
792	0.2353453572
793	0.2353310957
794	0.2353063516
795	0.2352033624
796	0.2351158772
797	0.2350402996
798	0.2350270637
799	0.2349791047
800	0.2349158991
801	0.2348115291
802	0.2347478923
803	0.2346715893
804	0.234612996
805	0.2345989159
806	0.2345804548
807	0.2344979233
808	0.2344383719
809	0.2343974118
810	0.2342530496
811	0.2341628318
812	0.2340902461
813	0.234013997
814	0.2340049947
815	0.2339227943
816	0.2338836816
817	0.2337827543
818	0.2337295051
819	0.2336192794
820	0.2336103578
821	0.2335917648
822	0.2335795278
823	0.2335297375
824	0.2334914727
825	0.2334258861
826	0.2333794761
827	0.233363283
828	0.2332926348
829	0.2331932168
830	0.2331193031
831	0.2330770967
832	0.2330655118
833	0.2330155372
834	0.2329495263
835	0.2328274386
836	0.2327889342
837	0.2326670908
838	0.2325869936
839	0.2325189731
840	0.2324660258
841	0.232406573
842	0.2323318685
843	0.2323038191
844	0.2322533951
845	0.232209792
846	0.232079316
847	0.232037994
848	0.2319974731
849	0.2319694695
850	0.2318674928
851	0.2318039456
852	0.2317705025
853	0.2316728994
854	0.2315870885
855	0.2315421763
856	0.2314881936
857	0.2314027221
858	0.2313890803
859	0.2313346108
860	0.2312768931
861	0.231252885
862	0.2312179081
863	0.2311733344
864	0.2311493454
865	0.2311268731
866	0.2310948639
867	0.2310539874
868	0.2310032895
869	0.230991027
870	0.2309050434
871	0.2308570669
872	0.2307815666
873	0.2307784777
874	0.2307516651
875	0.2306841297
876	0.2306361023
877	0.2305832193
878	0.2305461429
879	0.230491208
880	0.2304507752
881	0.2303610662
882	0.2303419573
883	0.2303097314
884	0.2302606855
885	0.2302201412
886	0.2301990827
887	0.2301476647
888	0.2301343098
889	0.2300037169
890	0.2299387079
891	0.2298953373
892	0.2297992604
893	0.2297329765
894	0.2296402933
895	0.2295922025
896	0.2295076881
897	0.2293881595
898	0.2292967564
899	0.2292591941
900	0.2291941124
901	0.2291740398
902	0.2291550149
903	0.2291052377
904	0.2290257857
905	0.2289544906
906	0.2288845905
907	0.2288351353
908	0.228728639
909	0.2286938016
910	0.2286202072
911	0.2285962939
912	0.2285877542
913	0.2285279265
914	0.2284961353
915	0.2284251037
916	0.2283917097
917	0.2283335703
918	0.2283246321
919	0.2282574942
920	0.2281827415
921	0.2281038627
922	0.2280649324
923	0.2280068139
924	0.2279802029
925	0.2279098952
926	0.2278743312
927	0.2277906539
928	0.2277206126
929	0.2276861364
930	0.2276601257
931	0.2276054272
932	0.2275386035
933	0.2274581062
934	0.2274431819
935	0.227408357
936	0.2273729944
937	0.227336252
938	0.2273155548
939	0.2272870342
940	0.2272494753
941	0.2272225608
942	0.2271890025
943	0.227182414
944	0.2271758452
945	0.2271187423
946	0.2269784132
947	0.2269425516
948	0.2268630568
949	0.2267890036
950	0.2267326676
951	0.226673676
952	0.2266070392
953	0.2265412042
954	0.22649646
955	0.2264240528
956	0.2263737927
957	0.2263247602
958	0.2263182691
959	0.2263106096
960	0.2262834856
961	0.2262433991
962	0.2261958895
963	0.2261607169
964	0.2261140592
965	0.2260572304
966	0.2259988864
967	0.2258890993
968	0.2258429447
969	0.2258160654
970	0.22575574
971	0.2257218251
972	0.2256870425
973	0.2256378256
974	0.2255780032
975	0.2255522239
976	0.225489344
977	0.2254499377
978	0.2253871245
979	0.2253638935
980	0.2253226124
981	0.2253051247
982	0.2252918518
983	0.2252406589
984	0.2251743687
985	0.2251622107
986	0.2251404021
987	0.2250772649
988	0.2250480526
989	0.2249832493
990	0.2249310893
991	0.224874836
992	0.2248114168
993	0.2247887347
994	0.2247282039
995	0.2246822733
996	0.2246610339
997	0.2245874196
998	0.2245472485
999	0.2244422676
