iter	Passed	Remaining
219	1247	4423
220	1252	4416
221	1259	4412
222	1266	4411
223	1271	4405
224	1277	4401
225	1284	4398
226	1290	4392
227	1295	4386
228	1301	4382
229	1306	4375
230	1311	4367
231	1317	4361
232	1323	4357
233	1329	4350
234	1335	4346
235	1341	4341
236	1346	4334
237	1352	4331
238	1357	4323
239	1363	4317
240	1369	4312
241	1375	4307
242	1380	4301
243	1386	4296
244	1393	4292
245	1399	4289
246	1405	4283
247	1409	4275
248	1415	4270
249	1421	4265
250	1427	4260
251	1433	4256
252	1439	4248
253	1444	4242
254	1449	4236
255	1455	4229
256	1461	4225
257	1467	4220
258	1473	4215
259	1479	4211
260	1484	4204
261	1490	4199
262	1496	4194
263	1502	4189
264	1509	4185
265	1515	4180
266	1521	4176
267	1527	4172
268	1532	4164
269	1537	4157
270	1543	4150
271	1548	4145
272	1553	4138
273	1559	4132
274	1565	4127
275	1570	4121
276	1574	4110
277	1581	4108
278	1587	4103
279	1594	4100
280	1605	4108
281	1611	4102
282	1617	4098
283	1623	4094
284	1629	4087
285	1635	4083
286	1641	4077
287	1647	4072
288	1652	4065
289	1658	4059
290	1663	4053
291	1669	4048
292	1674	4041
293	1680	4035
294	1686	4030
295	1692	4025
296	1697	4018
297	1704	4015
298	1710	4010
299	1717	4006
300	1724	4004
301	1730	3999
302	1737	3997
303	1743	3990
304	1748	3985
305	1754	3979
306	1760	3974
307	1766	3968
308	1772	3964
309	1778	3958
310	1784	3952
311	1789	3945
312	1795	3940
313	1801	3934
314	1807	3930
315	1814	3926
316	1819	3921
317	1825	3914
318	1830	3907
319	1835	3901
320	1840	3893
321	1846	3887
322	1851	3881
323	1856	3873
324	1862	3868
325	1868	3862
326	1873	3856
327	1878	3849
328	1884	3842
329	1889	3836
330	1895	3830
331	1900	3823
332	1905	3817
333	1911	3811
334	1918	3807
335	1924	3803
336	1929	3796
337	1935	3790
338	1940	3784
339	1946	3778
340	1952	3773
341	1958	3768
342	1964	3762
343	1969	3756
344	1976	3752
345	1981	3746
346	1986	3739
347	1992	3732
348	1998	3727
349	2004	3721
350	2010	3717
351	2016	3711
352	2023	3708
353	2028	3702
354	2034	3696
355	2040	3690
356	2046	3686
357	2053	3682
358	2061	3680
359	2067	3676
360	2075	3673
361	2082	3670
362	2089	3667
363	2100	3670
364	2108	3668
365	2114	3662
366	2124	3663
367	2131	3660
368	2139	3658
369	2145	3652
370	2152	3649
371	2158	3644
372	2164	3639
373	2171	3634
374	2177	3629
375	2183	3624
376	2190	3619
377	2196	3613
378	2203	3609
379	2209	3604
380	2216	3600
381	2222	3596
382	2229	3591
383	2236	3588
384	2243	3584
385	2250	3580
386	2257	3575
387	2264	3571
388	2270	3566
389	2277	3562
390	2284	3558
391	2290	3552
392	2297	3548
393	2304	3544
394	2309	3537
395	2315	3530
396	2320	3525
397	2326	3518
398	2331	3511
399	2336	3505
400	2342	3498
401	2347	3492
402	2354	3487
403	2359	3481
404	2365	3475
405	2371	3469
406	2376	3462
407	2381	3456
408	2386	3448
409	2392	3442
410	2397	3436
411	2403	3429
412	2408	3422
413	2412	3415
414	2417	3408
415	2422	3401
416	2428	3394
417	2433	3388
418	2438	3381
419	2444	3376
420	2450	3370
421	2457	3365
422	2462	3359
423	2468	3352
424	2473	3346
425	2479	3340
426	2485	3335
427	2490	3328
428	2496	3322
429	2501	3315
430	2506	3309
431	2512	3303
432	2517	3297
433	2522	3290
434	2527	3283
435	2532	3276
436	2537	3269
437	2542	3261
438	2547	3255
439	2552	3248
440	2557	3241
441	2562	3234
442	2566	3227
443	2571	3220
444	2576	3213
445	2581	3206
446	2586	3199
447	2592	3193
448	2597	3187
449	2602	3180
450	2607	3173
451	2612	3167
452	2617	3160
453	2622	3153
454	2627	3146
455	2632	3140
456	2636	3133
457	2641	3126
458	2646	3119
459	2651	3112
460	2656	3106
461	2661	3099
462	2666	3092
463	2670	3085
464	2676	3078
465	2681	3072
466	2686	3065
467	2691	3059
468	2696	3052
469	2701	3046
470	2706	3040
471	2711	3032
472	2716	3027
473	2723	3022
474	2729	3016
475	2734	3010
476	2739	3003
477	2744	2996
478	2749	2990
479	2754	2983
480	2759	2977
481	2764	2971
482	2770	2965
483	2776	2959
484	2781	2953
485	2786	2946
486	2792	2941
487	2797	2935
488	2803	2930
489	2810	2924
490	2815	2918
491	2820	2912
492	2825	2906
493	2831	2900
494	2838	2895
495	2844	2890
496	2851	2886
497	2858	2881
498	2865	2876
499	2872	2872
500	2878	2867
501	2885	2862
502	2892	2857
503	2899	2853
504	2904	2847
505	2911	2842
506	2917	2837
507	2924	2832
508	2929	2826
509	2935	2820
510	2942	2815
511	2948	2810
512	2955	2805
513	2962	2800
514	2968	2795
515	2974	2790
516	2980	2784
517	2986	2779
518	2992	2773
519	2998	2767
520	3003	2761
521	3009	2755
522	3015	2750
523	3020	2743
524	3025	2737
525	3031	2731
526	3036	2725
527	3041	2719
528	3046	2712
529	3051	2705
530	3056	2699
531	3061	2693
532	3066	2687
533	3071	2680
534	3076	2674
535	3081	2667
536	3086	2661
537	3091	2654
538	3096	2648
539	3101	2641
540	3108	2636
541	3115	2632
542	3127	2631
543	3132	2625
544	3137	2619
545	3142	2612
546	3147	2606
547	3151	2599
548	3157	2593
549	3161	2587
550	3166	2580
551	3171	2573
552	3176	2567
553	3181	2561
554	3186	2554
555	3191	2548
556	3195	2541
557	3200	2535
558	3205	2528
559	3210	2522
560	3214	2515
561	3220	2509
562	3225	2503
563	3230	2497
564	3235	2491
565	3240	2484
566	3245	2478
567	3250	2472
568	3255	2465
569	3259	2459
570	3265	2453
571	3269	2446
572	3274	2440
573	3279	2433
574	3284	2428
575	3290	2421
576	3294	2415
577	3299	2409
578	3304	2403
579	3309	2396
580	3314	2390
581	3320	2384
582	3325	2378
583	3330	2372
584	3335	2366
585	3339	2359
586	3344	2353
587	3349	2347
588	3354	2341
589	3360	2334
590	3364	2328
591	3369	2322
592	3374	2316
593	3379	2309
594	3384	2303
595	3388	2297
596	3393	2290
597	3398	2284
598	3403	2278
599	3407	2271
600	3413	2265
601	3417	2259
602	3422	2253
603	3427	2247
604	3432	2241
605	3437	2234
606	3442	2228
607	3447	2222
608	3451	2216
609	3457	2210
610	3462	2204
611	3467	2198
612	3472	2192
613	3477	2186
614	3482	2180
615	3487	2174
616	3492	2168
617	3497	2162
618	3503	2156
619	3507	2150
620	3512	2143
621	3517	2137
622	3522	2131
623	3527	2125
624	3532	2119
625	3537	2113
626	3542	2107
627	3547	2101
628	3552	2095
629	3557	2089
630	3562	2083
631	3568	2077
632	3573	2071
633	3578	2065
634	3583	2059
635	3587	2053
636	3592	2047
637	3597	2041
638	3602	2035
639	3607	2029
640	3612	2023
641	3617	2017
642	3621	2010
643	3626	2004
644	3631	1998
645	3636	1992
646	3641	1986
647	3646	1980
648	3651	1974
649	3656	1969
650	3661	1963
651	3666	1957
652	3672	1951
653	3676	1945
654	3681	1939
655	3686	1933
656	3690	1926
657	3696	1921
658	3700	1915
659	3705	1908
660	3710	1902
661	3715	1897
662	3720	1890
663	3724	1884
664	3729	1878
665	3734	1872
666	3738	1866
667	3743	1860
668	3748	1854
669	3753	1848
670	3758	1842
671	3763	1836
672	3768	1830
673	3772	1824
674	3777	1818
675	3782	1812
676	3787	1806
677	3792	1801
678	3797	1795
679	3803	1789
680	3807	1783
681	3812	1777
682	3817	1771
683	3822	1766
684	3827	1759
685	3832	1754
686	3836	1748
687	3841	1741
688	3846	1736
689	3851	1730
690	3856	1724
691	3860	1718
692	3865	1712
693	3870	1706
694	3874	1700
695	3879	1694
696	3884	1688
697	3889	1682
698	3894	1676
699	3899	1671
700	3903	1665
701	3908	1658
702	3912	1653
703	3917	1647
704	3921	1641
705	3926	1635
706	3931	1629
707	3935	1623
708	3941	1617
709	3946	1612
710	3952	1606
711	3956	1600
712	3962	1594
713	3967	1589
714	3972	1583
715	3977	1577
716	3982	1571
717	3987	1566
718	3992	1560
719	3997	1554
720	4002	1548
721	4007	1543
722	4012	1537
723	4016	1531
724	4021	1525
725	4026	1519
726	4030	1513
727	4035	1507
728	4040	1501
729	4044	1496
730	4049	1490
731	4054	1484
732	4059	1478
733	4064	1472
734	4069	1467
735	4074	1461
736	4079	1455
737	4084	1449
738	4088	1444
739	4094	1438
740	4098	1432
741	4103	1426
742	4108	1421
743	4112	1415
744	4118	1409
745	4125	1404
746	4130	1398
747	4136	1393
748	4140	1387
749	4145	1381
750	4151	1376
751	4156	1370
752	4161	1365
753	4166	1359
754	4172	1353
755	4177	1348
756	4182	1342
757	4187	1336
758	4193	1331
759	4198	1325
760	4203	1320
761	4207	1314
762	4212	1308
763	4217	1302
764	4222	1297
765	4227	1291
766	4232	1285
767	4236	1279
768	4241	1274
769	4246	1268
770	4251	1262
771	4255	1256
772	4260	1251
773	4265	1245
774	4270	1239
775	4275	1234
776	4280	1228
777	4284	1222
778	4289	1216
779	4294	1211
780	4299	1205
781	4304	1199
782	4309	1194
783	4314	1188
784	4319	1183
785	4324	1177
786	4328	1171
787	4333	1165
788	4339	1160
789	4343	1154
790	4348	1149
791	4353	1143
792	4358	1137
793	4362	1131
794	4367	1126
795	4372	1120
796	4376	1114
797	4382	1109
798	4386	1103
799	4391	1097
800	4396	1092
801	4401	1086
802	4405	1080
803	4410	1075
804	4415	1069
805	4420	1064
806	4425	1058
807	4430	1052
808	4435	1047
809	4439	1041
810	4444	1035
811	4449	1030
812	4454	1024
813	4459	1018
814	4463	1013
815	4468	1007
816	4474	1002
817	4479	996
818	4484	991
819	4489	985
820	4494	979
821	4498	974
822	4503	968
823	4508	962
824	4512	957
825	4517	951
826	4522	946
827	4527	940
828	4532	934
829	4537	929
830	4543	924
831	4548	918
832	4553	912
833	4558	907
834	4563	901
835	4568	896
836	4573	890
837	4578	885
838	4583	879
839	4589	874
840	4594	868
841	4600	863
842	4606	857
843	4611	852
844	4617	846
845	4622	841
846	4627	835
847	4632	830
848	4637	824
849	4643	819
850	4648	813
851	4654	808
852	4659	802
853	4664	797
854	4669	791
855	4674	786
856	4679	780
857	4684	775
858	4688	769
859	4693	764
860	4698	758
861	4703	752
862	4708	747
863	4713	741
864	4717	736
865	4722	730
866	4727	725
867	4732	719
868	4736	714
869	4741	708
870	4746	702
871	4750	697
872	4755	691
873	4760	686
874	4765	680
875	4770	675
876	4775	669
877	4780	664
878	4784	658
879	4790	653
880	4795	647
881	4800	642
882	4804	636
883	4809	631
884	4814	625
885	4819	620
886	4824	614
887	4829	609
888	4834	603
889	4839	598
890	4844	592
891	4849	587
892	4854	581
893	4858	576
894	4863	570
895	4868	565
896	4873	559
897	4878	554
898	4882	548
899	4887	543
900	4892	537
901	4896	532
902	4901	526
903	4906	521
904	4910	515
905	4915	510
906	4920	504
907	4925	499
908	4930	493
909	4935	488
910	4939	482
911	4944	477
912	4949	471
913	4954	466
914	4959	460
915	4965	455
916	4970	449
917	4975	444
918	4980	438
919	4984	433
920	4989	428
921	4995	422
922	5000	417
923	5005	411
924	5010	406
925	5015	400
926	5020	395
927	5024	389
928	5029	384
929	5034	378
930	5039	373
931	5044	368
932	5049	362
933	5054	357
934	5058	351
935	5063	346
936	5068	340
937	5074	335
938	5078	329
939	5083	324
940	5088	319
941	5093	313
942	5098	308
943	5103	302
944	5108	297
945	5113	291
946	5119	286
947	5124	281
948	5129	275
949	5135	270
950	5140	264
951	5146	259
952	5151	254
953	5158	248
954	5163	243
955	5168	237
956	5174	232
957	5179	227
958	5184	221
959	5189	216
960	5194	210
961	5199	205
962	5205	199
963	5210	194
964	5215	189
965	5220	183
966	5226	178
967	5231	172
968	5237	167
969	5241	162
970	5248	156
971	5254	151
972	5259	145
973	5264	140
974	5269	135
975	5274	129
976	5280	124
977	5285	118
978	5290	113
979	5295	108
980	5300	102
981	5305	97
982	5311	91
983	5316	86
984	5321	81
985	5326	75
986	5331	70
987	5337	64
988	5342	59
989	5348	54
990	5353	48
991	5358	43
992	5363	37
993	5368	32
994	5373	27
995	5379	21
996	5384	16
997	5389	10
998	5395	5
999	5400	0
